Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category,Small,Medium,Large
Fortis,4.1,(1.9K reviews),62.8K followers ,"Medical Services / Hospital, Public, Corporate, B2C",Public,1996 (28 yrs old),10001-50000,,http://www.fortishealthcare.com/,Corporate,Large,False,False,True
Dhii Health Tech,4.7,(25 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,http://www.dhii.in/,Corporate,Small,True,False,False
K Raheja Corp,4.3,(521 reviews),20K followers ,"Real Estate, Private, Corporate, B2C, B2B",Private,1956 (68 yrs old),1001-5000,"Mumbai, India",https://www.krahejacorp.com/,Corporate,Medium,False,True,False
Trimurti Corns Agro Foods,,,0,"Agriculture / Forestry / Fishing, Food Processing, Corporate, B2B",,2007 (17 yrs old),,,http://www.trimurticorns.com,Corporate,,False,False,False
Radiant Cash Management Services,,,0,"Financial Services, Private, Corporate, B2B",Private,2005 (19 yrs old),5001-10000,,,Corporate,Medium,False,True,False
Jasch Industries,4.6,(12 reviews),0,"Textile & Apparel, Public, Corporate, B2B",Public,1985 (39 yrs old),201-500,,http://www.jaschindustries.com,Corporate,Medium,False,True,False
EbixCash Financial Technologies (ECFT),3.9,(42 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1990 (34 yrs old),501-1000,,http://www.indussoft.com,Corporate,Medium,False,True,False
Kalpataru Group,3.9,(681 reviews),14.7K followers ,"Real Estate, Private, Corporate, B2C, B2B, Conglomerate",Private,1969 (55 yrs old),1001-5000,,,Corporate,Medium,False,True,False
Weavers Web,4.4,(31 reviews),0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,http://www.weavers-web.com,Corporate,Small,True,False,False
Strategic Learning Solutions,4.4,(117 reviews),0,"BPO / Call Centre, Education / Training, Private, Corporate, B2B",Private,1996 (28 yrs old),201-500,,https://www.sls-india.com/,Corporate,Medium,False,True,False
Caprus IT,4.1,(25 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,"Hyderabad / Secunderabad, Telangana",http://www.caprusit.com,Corporate,Medium,False,True,False
XOTIK,,,0,"Beverage, Financial Services, Private, Corporate, B2C",Private,2007 (17 yrs old),201-500,,https://www.xotik.co.in/,Corporate,Medium,False,True,False
Amosta,4.4,(18 reviews),0,"IT Services & Consulting, Private, Corporate, B2C, B2B",Private,2015 (9 yrs old),51-200,,https://www.amosta.com/,Corporate,Small,True,False,False
SevenMentor,4.5,(172 reviews),0,"Education / Training, Financial Services, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,https://www.sevenmentor.com/,Corporate,Small,True,False,False
Manipal Hospitals,4.2,(1.1K reviews),11.8K followers ,"Medical Services / Hospital, Private, Corporate, B2C, B2B",Private,1953 (71 yrs old),5001-10000,"Bangalore / Bengaluru, Karnataka",https://www.manipalhospitals.com/,Corporate,Medium,False,True,False
NetSkope Software,4.0,(6 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,2012 (12 yrs old),501-1000,,https://www.netskope.com,Corporate,Medium,False,True,False
Grasko Solutions,3.9,(44 reviews),0,"Medical Services / Hospital, Private, Corporate, B2B",Private,1997 (27 yrs old),51-200,"Bengaluru/Bangalore, India",https://www.grasko.com/Grasko/index.html,Corporate,Small,True,False,False
Webguruz Technologies,4.1,(24 reviews),0,"IT Services & Consulting, Design, Advertising & Marketing, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,"Mohali, India",https://webguruz.in/,Corporate,Small,True,False,False
System Consultant Information India,3.7,(18 reviews),0,"Software Product, Corporate, B2B",,2005 (19 yrs old),,,,Corporate,,False,False,False
Reliance Retail,4.0,(19.6K reviews),100.5K followers ,"Retail, Textile & Apparel, Private, Corporate, B2C",Private,2006 (18 yrs old),100001+,"Mumbai, Maharashtra",https://relianceretail.com/,Corporate,Large,False,False,True
Oberoi Realty,3.9,(253 reviews),3.9K followers ,"Real Estate, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1980 (44 yrs old),501-1000,,https://www.oberoirealty.com/,Corporate,Medium,False,True,False
Enaltec,,,0,"Pharmaceutical & Life Sciences, Corporate, B2B",,2006 (18 yrs old),501-1000,,http://www.enaltec.com,Corporate,Medium,False,True,False
Ruchi Soya Industries,4.0,(911 reviews),0,"FMCG, Public, Corporate, B2B",Public,1986 (38 yrs old),5001-10000,,http://www.ruchisoya.com,Corporate,Medium,False,True,False
Dolat Capital,3.6,(29 reviews),0,"Financial Services, Private, Corporate, B2C, B2B",Private,1970 (54 yrs old),Nov-50,,http://www.dolatcapital.com,Corporate,Small,True,False,False
Vijai Electricals,3.7,(373 reviews),0,"Power, Metals & Mining, Private, Corporate, B2B",Private,1973 (51 yrs old),5001-10000,"Hyderabad / Secunderabad, Telangana",http://www.vijaielectricals.com,Corporate,Medium,False,True,False
visionspring,4.3,(44 reviews),0,"NGO / Social Services / Industry Associations, Private, Corporate, B2C",Private,2001 (23 yrs old),51-200,,,Corporate,Small,True,False,False
Neolite Zkw Lightings,3.6,(150 reviews),0,"Auto Components, Private, Corporate, B2C",Private,1952 (72 yrs old),1001-5000,,http://www.neolitezkw.com,Corporate,Medium,False,True,False
Clinton Health Access Initiative (CHAI),3.9,(41 reviews),2.1K followers ,"NGO / Social Services / Industry Associations, NGO/NPO, Corporate, B2C",NGO/NPO,2002 (22 yrs old),1001-5000,,,Corporate,Medium,False,True,False
VEDAVAAG Systems,4.4,(20 reviews),0,"Software Product, IT Services & Consulting, Public, Corporate, B2B",Public,1998 (26 yrs old),Nov-50,,,Corporate,Small,True,False,False
Nissi Infotech,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1997 (27 yrs old),Nov-50,,http://www.nissiinfotech.com,Corporate,Small,True,False,False
JIL Information Technology,3.9,(59 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,,http://www.jilit.co.in/,Corporate,Medium,False,True,False
Akhil Systems,3.6,(24 reviews),0,"Medical Services / Hospital, Private, Corporate, B2B",Private,1989 (35 yrs old),51-200,,http://www.akhilsystems.com,Corporate,Small,True,False,False
CONCORD,3.7,(249 reviews),0,"Pharmaceutical & Life Sciences, Public, Corporate, B2B, Conglomerate",Public,2000 (24 yrs old),501-1000,,http://www.concordbiotech.com,Corporate,Medium,False,True,False
Lee Pharma,3.7,(156 reviews),0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1997 (27 yrs old),201-500,,http://leepharma.com/,Corporate,Medium,False,True,False
Appidi Technologies,,,0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1997 (27 yrs old),51-200,,http://appiditech.com,Corporate,Small,True,False,False
Impact HR Services,4.1,(11 reviews),0,"Recruitment / Staffing, Corporate, B2C, B2B",,1994 (30 yrs old),51-200,,https://www.impsmanagement.com/,Corporate,Small,True,False,False
Empower Integrated Solutions,3.7,(29 reviews),0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,http://www.empower-solutions.com,Corporate,Small,True,False,False
AvioHeliTronics InfoSystems (AIS),3.7,(37 reviews),0,"Aviation, Private, Corporate, B2B",Private,2007 (17 yrs old),201-500,,http://www.aviohelitronics.com/,Corporate,Medium,False,True,False
Alibaba.com,4.1,(43 reviews),0,"Internet, Hardware & Networking, Software Product, Public, Corporate, B2C, B2B, E-commerce",Public,1999 (25 yrs old),10001-50000,,http://www.alibabagroup.com,Corporate,Large,False,False,True
Win Pens,,,0,"Miscellaneous, Private, Corporate, B2C",Private,2007 (17 yrs old),51-200,,,Corporate,Small,True,False,False
Aithent,3.6,(56 reviews),0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,1991 (33 yrs old),501-1000,,http://www.aithent.com,Corporate,Medium,False,True,False
Anibrain Digital Technologies,,,0,"Animation & VFX, Financial Services, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,,https://anibrain.com/,Corporate,Medium,False,True,False
YNG Media,3.9,(6 reviews),0,"Advertising & Marketing, Corporate, B2B",,2010 (14 yrs old),,,https://www.yngmedia.com/,Corporate,,False,False,False
Telliant Systems,3.6,(28 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,https://www.telliant.com/,Corporate,Small,True,False,False
Synthite,3.9,(147 reviews),128 followers ,"Food Processing, Import & Export, Private, Corporate, B2B",Private,1972 (52 yrs old),1001-5000,"Kolenchery, Kerala",http://www.synthite.com,Corporate,Medium,False,True,False
Y-cook,,,0,"Food Processing, Private, Corporate, B2C, B2B",Private,2013 (11 yrs old),51-200,,http://www.tadaa.in,Corporate,Small,True,False,False
Wenger & Watson,,,0,"Recruitment / Staffing, Corporate, B2B",,2002 (22 yrs old),,,http://wengerwatson.com/,Corporate,,False,False,False
Ideavate Solutions,4.9,(12 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),Nov-50,,http://www.ideavate.com/,Corporate,Small,True,False,False
Asmaitha Wireless Technologies,4.1,(11 reviews),0,"Telecom / ISP, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,https://asmaitha.com/,Corporate,Small,True,False,False
CIMCON Software,,,0,"Software Product, Hardware & Networking, Private, Corporate, B2B",Private,1988 (36 yrs old),Nov-50,,http://www.cimcon.com,Corporate,Small,True,False,False
NETBRAMHA STUDIOS,3.9,(5 reviews),0,"Design, IT Services & Consulting, LLP, Corporate, B2B",LLP,2008 (16 yrs old),,"Bengaluru/Bangalore, Karnataka",https://netbramha.com,Corporate,,False,False,False
Saankhya Labs,4.5,(32 reviews),0,"Hardware & Networking, Internet, Private, Corporate, B2B, Minicorn",Private,2007 (17 yrs old),51-200,,https://saankhyalabs.com/,Corporate,Small,True,False,False
Amber Enterprises India,3.9,(440 reviews),0,"Consumer Electronics & Appliances, Internet, Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1990 (34 yrs old),1001-5000,,http://www.ambergroupindia.com/,Corporate,Medium,False,True,False
Samarthanam Trust for the Disabled,4.1,(31 reviews),0,"NGO / Social Services / Industry Associations, Private, Corporate, B2C",Private,1997 (27 yrs old),201-500,,http://www.samarthanam.org,Corporate,Medium,False,True,False
Pioneer e Solutions,3.6,(114 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),1001-5000,,https://pioneeresolutions.in/,Corporate,Medium,False,True,False
Amar Tea,4.2,(61 reviews),0,"Food Processing, Financial Services, Private, Corporate, B2C, B2B",Private,1933 (91 yrs old),,,https://www.societytea.in/,Corporate,,False,False,False
Rallis,4.2,(588 reviews),1.5K followers ,"Fertilizers / Pesticides / Agro chemicals, Public, Corporate, B2C, B2B",Public,1948 (76 yrs old),1001-5000,,https://www.rallis.co.in/index.aspx,Corporate,Medium,False,True,False
A One Innovation Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),Nov-50,,http://www.aoneinnovation.com,Corporate,Small,True,False,False
Saraswati Vidya Mandir,4.1,(94 reviews),0,"Education / Training, Public, Corporate, B2C",Public,1976 (48 yrs old),51-200,,,Corporate,Small,True,False,False
Mobikwik,,,354 followers ,"FinTech / Payments, Financial Services, Internet, Private, Corporate, B2C, B2B",Private,2009 (15 yrs old),201-500,,,Corporate,Medium,False,True,False
New Look Laser Clinic,,,0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1994 (30 yrs old),Nov-50,,https://www.newlooklaserclinic.com/,Corporate,Small,True,False,False
Woodpecker Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1991 (33 yrs old),Nov-50,,http://www.woodpeckertechnologies.com/,Corporate,Small,True,False,False
Onward Technologies,,,0,"Software Product, Public, Corporate, B2C, B2B",Public,1991 (33 yrs old),1001-5000,"Mumbai, Maharashtra",http://www.onwardgroup.com,Corporate,Medium,False,True,False
Taikee,4.1,(442 reviews),116 followers ,"Software Product, FMCG, Internet, Retail, Recruitment / Staffing, Private, Corporate, B2B, Minicorn",Private,2010 (14 yrs old),201-500,,https://www.peel-works.com,Corporate,Medium,False,True,False
DigiMantra,3.7,(24 reviews),0,"IT Services & Consulting, Gaming, Software Product, LLP, Corporate, B2B",LLP,2008 (16 yrs old),51-200,"Mohali, Punjab",https://digimantralabs.com/,Corporate,Small,True,False,False
Somic ZF Components,4.2,(238 reviews),0,"Auto Components, Iron & Steel, Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1995 (29 yrs old),201-500,,http://www.somiczfindia.com/#top,Corporate,Medium,False,True,False
VitalityBSS,,,0,"BPO / Call Centre, LLP, Corporate, B2B",LLP,2000 (24 yrs old),,,https://vitalitybss.com/,Corporate,,False,False,False
Karmick Solutions,4.5,(17 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1999 (25 yrs old),51-200,,http://www.karmicksolutions.com,Corporate,Small,True,False,False
Experis,,,0,"Recruitment / Staffing, IT Services & Consulting, Private, Corporate, B2B",Private,1998 (26 yrs old),1001-5000,,https://www.experisIndia.com/,Corporate,Medium,False,True,False
Brain4ce Education Solutions,,,0,"e-Learning / EdTech, Private, Startup, Corporate, B2C, B2B",,,,,,Corporate,,False,False,False
Vertex Infosoft Solutions,,,0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,1999 (25 yrs old),51-200,,,Corporate,Small,True,False,False
Celon ,,,0,"Pharmaceutical & Life Sciences, Financial Services, Private, Corporate, B2B",Private,2007 (17 yrs old),501-1000,,http://www.celonlabs.com/,Corporate,Medium,False,True,False
Credencys Solutions,4.1,(34 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,,http://www.credencys.com/,Corporate,Small,True,False,False
Killer Jeans,4.0,(114 reviews),0,"Textile & Apparel, Financial Services, Public, Corporate, B2C",Public,1981 (43 yrs old),1001-5000,,http://www.kewalkiran.com,Corporate,Medium,False,True,False
Anita Dongre,4.2,(458 reviews),5.4K followers ,"Textile & Apparel, Private, Corporate, B2C",Private,1998 (26 yrs old),1001-5000,,https://www.anitadongre.com/,Corporate,Medium,False,True,False
Karle Infra,3.9,(71 reviews),0,"Real Estate, Engineering & Construction, Private, Corporate, B2C, B2B",Private,2011 (13 yrs old),201-500,,http://www.karleinfra.com,Corporate,Medium,False,True,False
Jivo Wellness,3.7,(126 reviews),0,"FMCG, Private, Corporate, B2C, B2B",Private,2008 (16 yrs old),51-200,,http://WWW.JIVO.IN,Corporate,Small,True,False,False
TRUGlobal,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),201-500,,http://www.truglobal.com,Corporate,Medium,False,True,False
Yuva trip,,,0,"Travel & Tourism, Private, Corporate, B2C",Private,2012 (12 yrs old),51-200,,https://yuvatrip.com/,Corporate,Small,True,False,False
Vivanta Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),51-200,,http://www.vivantatechnologies.com,Corporate,Small,True,False,False
Flamingo Pharmaceuticals,,,120 followers ,"Pharmaceutical & Life Sciences, Public, Corporate, B2C",Public,1985 (39 yrs old),1001-5000,,,Corporate,Medium,False,True,False
Tata AIA Life Insurance,4.1,(2.8K reviews),15.1K followers ,"Insurance, Financial Services, Private, Corporate, B2C",Private,2001 (23 yrs old),10001-50000,"Mumbai, Maharashtra",https://www.tataaia.com/,Corporate,Large,False,False,True
Kriscent Techno Hub,3.9,(7 reviews),143 followers ,"Software Product, Private, Corporate, B2B",Private,2014 (10 yrs old),Nov-50,,,Corporate,Small,True,False,False
Loyal Textile Mills,3.6,(91 reviews),0,"Textile & Apparel, Public, Corporate, B2B",Public,1946 (78 yrs old),1001-5000,,https://www.loyaltextiles.com,Corporate,Medium,False,True,False
Drychem Solution,3.7,(59 reviews),0,"Building Material, Private, Corporate, B2C, B2B",Private,2002 (22 yrs old),,,http://drychem.com,Corporate,,False,False,False
Bo International,3.9,(108 reviews),0,"Beauty & Personal Care, Corporate, B2C",Proprietorship,2013 (11 yrs old),51-200,,https://www.boessentialoil.com/,Corporate,Small,True,False,False
Elan Professional Appliances,3.6,(25 reviews),0,"Consumer Electronics & Appliances, Corporate, B2C, B2B",,2009 (15 yrs old),,,http://www.elan.pk,Corporate,,False,False,False
Fragomen,4.1,(141 reviews),0,"Travel & Tourism, Legal, Private, Corporate, B2C",Private,1951 (73 yrs old),1001-5000,,https://www.fragomen.com/,Corporate,Medium,False,True,False
Dr Batras,3.7,(412 reviews),164 followers ,"Medical Services / Hospital, Private, Corporate, B2C",Private,1982 (42 yrs old),501-1000,"Mumbai, Maharashtra",https://www.drbatras.com/,Corporate,Medium,False,True,False
Uneecops Technologies,4.0,(246 reviews),0,"IT Services & Consulting, Analytics / KPO / Research, Private, Corporate, B2B",Private,1995 (29 yrs old),501-1000,"New Delhi, India",https://www.uneecops.com,Corporate,Medium,False,True,False
MasterTech Web Applications,,,0,"IT Services & Consulting, Internet, LLP, Corporate, B2B",LLP,2011 (13 yrs old),51-200,,http://www.mastertech.co.in/,Corporate,Small,True,False,False
Amber Enterprises India,3.9,(440 reviews),0,"Consumer Electronics & Appliances, Internet, Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1990 (34 yrs old),1001-5000,,http://www.ambergroupindia.com/,Corporate,Medium,False,True,False
Make My House,,,0,"Architecture / Interior Design, Engineering & Construction, Corporate, B2C",,2012 (12 yrs old),,,http://www.makemyhouse.com,Corporate,,False,False,False
Star Health Insurance,3.8,(1.5K reviews),873 followers ,"Insurance, Private, Corporate, B2C",Private,2006 (18 yrs old),10001-50000,,http://www.starhealth.in,Corporate,Large,False,False,True
